slot_index,batch_id,section,day,time_start,time_end,subject_code,subject_name,teacher_id,teacher_name,room_id,room_name,campus,activity_type,department,scheme
8,A05,A05,Monday,17:00,18:00,HASS_A,Humanities Arts and Social Science Elective,TCH1001,Aryan Maharaj,R1040,Theory Classroom CLA15,Campus-3,Lecture,Electrical Engineering,A
30,A07,A07,Thursday,11:20,12:20,BEE_LAB_A,Basic Electrical Engineering Lab,TCH1001,Aryan Maharaj,R1022,Theory Classroom C-28,Campus-3,Lecture,Electrical Engineering,A
17,A10,A10,Tuesday,17:00,18:00,ENG_A,English,TCH1001,Aryan Maharaj,R1044,Theory Classroom 101,Campus-3,Lecture,Electrical Engineering,A
51,A11,A11,Saturday,15:00,16:00,CHEM_LAB_A,Chemistry Lab,TCH1001,Aryan Maharaj,R1039,Theory Classroom CLA14,Campus-8,Lecture,Information Technology,A
49,A12,A12,Saturday,13:00,14:00,B.ETC_A,Basic Electronics,TCH1001,Aryan Maharaj,R1027,Theory Classroom CLA2,Campus-8,Lecture,Electronics Engineering,A
51,A13,A13,Saturday,15:00,16:00,ENGG_LAB_A,Engineering Lab,TCH1001,Aryan Maharaj,R1047,Theory Classroom B-103,Campus-8,Lecture,Electronics Engineering,A
44,A14,A14,Friday,17:00,18:00,ENGG_LAB_A,Engineering Lab,TCH1001,Aryan Maharaj,R1033,Theory Classroom CLA8,Campus-3,Lecture,Electrical Engineering,A
46,A14,A14,Saturday,09:00,10:00,HASS_A,Humanities Arts and Social Science Elective,TCH1001,Aryan Maharaj,R1066,Sports Yoga (SY),Campus-3,Lecture,Electrical Engineering,A
32,A15,A15,Thursday,14:00,15:00,BEE_A,Basic Electrical Engineering,TCH1001,Aryan Maharaj,R1019,Theory Classroom C-25,Campus-8,Lecture,Electronics Engineering,A
41,A16,A16,Friday,14:00,15:00,SY_A,Sports and Yoga,TCH1001,Aryan Maharaj,R1045,Theory Classroom B-101,Campus-8,Lecture,Electronics Engineering,A
51,A16,A16,Saturday,15:00,16:00,ENGG_LAB_A,Engineering Lab,TCH1001,Aryan Maharaj,R1023,Theory Classroom A11,Campus-8,Lecture,Electronics Engineering,A
